,car_easy,pedestrian_easy,cyclist_easy,car_moderate,pedestrian_moderate,cyclist_moderate,car_hard,pedestrian_hard,cyclist_hard
initial,92.03993460196371,61.597132490642515,85.2584528884955,88.05562327196927,56.014273325552665,66.24387777811324,86.66246959442118,52.04571759099507,62.2172811132763
dl10,91.82988328804139,56.45217473461442,82.65839520872993,87.3159948762515,50.99574428565272,63.04885813591893,84.7224098051631,46.92958981829031,58.870049177758446
dl20,92.03399773168393,56.464697105372565,83.03033032279347,87.4027276444022,50.18031255960078,64.53232369364301,84.73261859218599,46.219703637851204,60.62154307954455
dl30,91.76030844478665,53.492322328227246,78.81539492300355,86.80387889650947,47.13980793375428,60.607216256143495,84.08133499637431,43.71055352710351,56.984588582550465
dl40,92.57481104722496,51.04414728209827,78.80829020611233,85.10457888325993,44.792477998044575,58.817118129551204,83.66699298340959,41.914949752533666,55.01632229706026
vq10,93.08302969460577,56.7388638160937,82.78197702090966,87.23621407783483,51.01526420502872,63.82801370845197,84.54459726134385,47.28293975500136,59.893628762318926
vq20,91.90131238474784,54.114582711036554,84.34271142503647,86.73936610881462,47.83524920700774,64.49673547224945,84.20430604662006,43.82172381167717,60.30883162649493
vq30,91.10715644612996,54.64098785759213,76.42057021481824,84.76974270482593,47.63759972873308,59.497089258687,81.88116801082003,43.67163912560984,55.65515800697373
vq40,91.74947822173503,50.806239702678994,75.26298487313157,86.40848063489038,44.936237301431866,56.310938256519336,82.4393018685804,41.53462036114082,52.83101993586773
