,car_easy,pedestrian_easy,cyclist_easy,car_moderate,pedestrian_moderate,cyclist_moderate,car_hard,pedestrian_hard,cyclist_hard
initial,94.50786683551877,71.11899283648737,91.34841182001551,90.19297978510086,64.11637108136176,74.6340416834417,88.08940265570749,59.88912185551393,69.88861171144262
dl10,95.66571098376045,68.94737255365973,92.81421848145769,90.45503902233362,60.83774717432382,76.98630692067545,88.3432298683322,56.244940275742316,72.39408543497044
dl20,94.83384022924396,65.031060992551,92.81413885708893,90.20698576046667,58.20112705528825,74.182037513521,88.16883802448194,54.670612249252194,69.67306050945824
dl30,95.62659658094852,66.32561813845086,92.83273092314715,90.39637999530456,58.73667940773204,75.1259189078631,88.3746155155398,54.269293928331074,71.23693999566827
dl40,95.11100774029835,67.95183451919075,93.66783536943191,90.27000919210971,61.113167212646566,75.925061447779,88.1195363639115,56.962396477564205,71.14590480858939
vq10,95.37891340265625,66.432534428027,92.30692299179913,90.63527893992014,59.56475569399622,75.1288882448453,88.30328479840276,55.43341636888697,70.51121851935031
vq20,95.10916711877246,71.80109147298796,90.9351472006748,90.33295453720733,62.9893390338477,75.0455780020753,88.31199485831401,57.73361951145348,70.26016515821183
vq30,95.1231339523687,70.79488077686406,93.86292602163458,90.09467633831633,63.13195626135536,75.66165940979805,87.96360407123005,57.99660099760595,70.96540604864911
vq40,95.30697282365708,67.78158141700771,92.03526017986474,90.32084619020729,59.832190222473514,74.43836380551974,88.24688576869431,55.34114419196487,69.76259978740225
