,car_easy,pedestrian_easy,cyclist_easy,car_moderate,pedestrian_moderate,cyclist_moderate,car_hard,pedestrian_hard,cyclist_hard
initial,91.00758362756979,68.08323137772646,87.9219935921222,82.04673434785406,60.81922427012242,70.93791851099368,81.41110202300673,55.98623223044834,66.30479659624156
dl10,92.4181570513323,66.24278489202548,89.48224894179562,82.74562133755936,57.908636365911256,73.28889423478697,82.13176543388157,52.65248130544544,68.85379378801792
dl20,91.46202594478132,61.48206775704643,89.87816038778075,82.26649101370853,54.57180256317214,70.88165238602697,81.59183044946167,50.29813885932659,66.55767176877816
dl30,92.41524215810945,62.962842264483065,89.86868145183944,82.51918721720966,55.730632773389786,72.06643342190098,81.85263357097499,50.64754455537831,67.61416531070064
dl40,92.05848357216495,65.84807768018338,90.329263904189,82.53601072534276,58.35615066178668,72.86079778176308,81.51720699868848,53.84753988133594,68.01636092382368
vq10,91.66246624148249,63.58838157957592,89.98151645172435,82.55278248218923,56.78180600140947,71.93046668160464,81.48557098056287,51.91493040561659,67.39491088083592
vq20,91.93289817535857,69.55798234315263,89.30817732971668,82.49740714196362,60.572702301787054,71.44224725136961,80.00442200907992,54.685363254872875,66.66079087684004
vq30,91.53890380003708,67.22226806418789,90.69934769721965,82.44656955954062,59.10064423456689,72.58080215966632,81.68190455534032,54.209347573333865,67.82214146871962
vq40,91.73746818107773,64.92783261683972,89.99803380036046,82.27182821922887,57.03367348229803,72.39098501009802,81.48927112508707,51.82040817320458,67.7868638784872
