,car_easy,pedestrian_easy,cyclist_easy,car_moderate,pedestrian_moderate,cyclist_moderate,car_hard,pedestrian_hard,cyclist_hard
initial,87.7517774987002,57.3014627777942,81.56703762232652,78.39635893759453,51.41451330087021,62.80740595198155,75.18433392185823,46.871532425408404,58.83144067523305
dl10,86.13943676674965,50.32253873468816,79.27104232916972,75.21482730254337,44.48438089525396,59.95305101586682,72.29392764132481,40.30065417698064,56.11393256307914
dl20,86.52409024107669,50.250613237266165,78.455764213983,75.05860477098622,43.94907290969374,60.712711184172385,71.93257210611219,39.53352258521758,56.88049308013103
dl30,85.06503675045543,45.9091712439158,73.07976358222048,72.48551958716217,40.62169996124309,55.022822722571284,69.44645248267412,37.340908345424594,51.624789172644284
dl40,85.3447634028974,44.56393193297196,74.06851136023911,72.52738015359161,39.03724020106763,53.69262743169154,69.39489380420795,35.76755367807887,49.95349026388123
vq10,86.33298691321852,51.22819826112046,80.1623159624212,75.3171690043713,45.51885875780181,60.92705175405858,72.27688424494693,41.297682279967965,56.845491348331265
vq20,84.64089388138231,46.38875496340818,81.07356636408775,73.0232150375898,40.579576208854476,60.86442405377681,69.98786502999732,36.55520974911449,57.11275111763877
vq30,84.12792264276823,47.02449057494606,72.10421059174459,71.72670505083197,40.65562980960477,54.338169059681164,68.1760156711626,36.97225799178534,50.60518569437815
vq40,84.16372161840201,44.390396876297814,69.1018184901859,71.84230767364055,38.70565845248758,51.18340054777484,68.58816140195785,34.97191872727718,47.73052032217577
